text,command,intent
Please restart the device immediately,restart,immediate
Haz un reinicio ahora,restart,immediate
Put the computer into hibernation now,hibernate,immediate
Hibernate it now immediately,hibernate,immediate
Hibernate the PC immediately,hibernate,immediate
Hibernate the PC in an hour,hibernate,scheduled
Hibernate the PC immediately,hibernate,immediate
Let it rest when finished,sleep,scheduled
Activate hibernate mode in an hour,hibernate,scheduled
Hiberna el PC ya,hibernate,immediate
Bájale el switch al compu enseguida,shutdown,immediate
Déjalo en modo reposo más tarde,sleep,scheduled
Turn off the PC now,shutdown,immediate
Coloca el sistema en hibernación en una hora,hibernate,scheduled
Sleep it now afterwards,sleep,scheduled
Suspende el PC ya,sleep,immediate
Sleep it now right away,sleep,immediate
Activa el modo suspensión ya,sleep,immediate
Por favor reinicia el equipo más tarde,restart,scheduled
Hibernate it now when finished,hibernate,scheduled
Activa el modo hibernar en una hora,hibernate,scheduled
Restart the system right away,restart,immediate
Déjalo en modo reposo ahora,sleep,immediate
Reinicia el computador enseguida,restart,immediate
Please restart the device afterwards,restart,scheduled
Kill the power right away,shutdown,immediate
Dale reiniciar en una hora,restart,scheduled
Activa el modo hibernar después,hibernate,scheduled
Reinicia el computador en una hora,restart,scheduled
Apaga todo enseguida,shutdown,immediate
Por favor reinicia el equipo enseguida,restart,immediate
Make it sleep deep when finished,hibernate,scheduled
Hibernate it now later,hibernate,scheduled
Suspende el PC después,sleep,scheduled
Sleep it now now,sleep,immediate
Apaga todo cuando termine,shutdown,scheduled
Put that system to hibernate now,hibernate,immediate
Reinicia el sistema enseguida,restart,immediate
Restart the system immediately,restart,immediate
Apaga el PC enseguida,shutdown,immediate
Let it rest immediately,sleep,immediate
Please shut down the system when finished,shutdown,scheduled
Please shut down the system asap,shutdown,immediate
Turn it off when finished,shutdown,scheduled
Sleep it now later,sleep,scheduled
Suspende el sistema de inmediato,sleep,immediate
Por favor reinicia el equipo más tarde,restart,scheduled
Reinicia el computador después,restart,scheduled
Por favor apaga el sistema más tarde,shutdown,scheduled
Put the computer to sleep in an hour,sleep,scheduled
Apaga todo ya,shutdown,immediate
Activa el modo hibernar en una hora,hibernate,scheduled
Suspend the system now,sleep,immediate
Perform a system reboot afterwards,restart,scheduled
Ponlo a dormir enseguida,sleep,immediate
Put the computer to sleep in an hour,sleep,scheduled
Suspende el PC de inmediato,sleep,immediate
Make it sleep deep now,hibernate,immediate
Bájale el switch al compu más tarde,shutdown,scheduled
Por favor apaga el sistema más tarde,shutdown,scheduled
Sleep it now later,sleep,scheduled
Turn it off and on again when finished,restart,scheduled
Reinicia el sistema cuando termine,restart,scheduled
Dale reiniciar más tarde,restart,scheduled
Restart the system immediately,restart,immediate
Make the PC nap right away,sleep,immediate
Suspend the system asap,sleep,immediate
Sleep it now now,sleep,immediate
Pon el computador en suspensión de inmediato,sleep,immediate
Put the computer into hibernation now,hibernate,immediate
Vuelve a encender esa vaina cuando termine,restart,scheduled
Pon el computador en hibernación de inmediato,hibernate,immediate
Please restart the device in an hour,restart,scheduled
Bájale el switch al compu ahora,shutdown,immediate
Make it sleep deep later,hibernate,scheduled
Pon el computador en hibernación de inmediato,hibernate,immediate
Pon el computador en hibernación en una hora,hibernate,scheduled
Hibernate it now afterwards,hibernate,scheduled
Reinicia el computador cuando termine,restart,scheduled
Mételo a dormir profundo enseguida,hibernate,immediate
Ponlo a dormir ahora,sleep,immediate
Restart that thing in an hour,restart,scheduled
Sleep it now in an hour,sleep,scheduled
Sleep it now asap,sleep,immediate
Procede a apagar el equipo de inmediato,shutdown,immediate
Make it sleep deep asap,hibernate,immediate
Restart that thing in an hour,restart,scheduled
Suspend the system when finished,sleep,scheduled
Por favor reinicia el equipo más tarde,restart,scheduled
Power off everything in an hour,shutdown,scheduled
Please shut down the system right away,shutdown,immediate
Activa el modo suspensión más tarde,sleep,scheduled
Hiberna el PC cuando termine,hibernate,scheduled
Procede a apagar el equipo enseguida,shutdown,immediate
Put the computer into hibernation asap,hibernate,immediate
Power off everything asap,shutdown,immediate
Vuelve a encender esa vaina en una hora,restart,scheduled
Turn off the PC immediately,shutdown,immediate
Apaga el computador en una hora,shutdown,scheduled
Déjalo en modo reposo después,sleep,scheduled
Ponlo a dormir más tarde,sleep,scheduled
Pon el computador en hibernación enseguida,hibernate,immediate
Suspende el PC en una hora,sleep,scheduled
Activa el modo suspensión enseguida,sleep,immediate
Dale reiniciar más tarde,restart,scheduled
Turn it off and on again right away,restart,immediate
Suspend the system later,sleep,scheduled
Coloca el sistema en hibernación enseguida,hibernate,immediate
Hiberna el PC de inmediato,hibernate,immediate
Put that system to hibernate asap,hibernate,immediate
Kill the power in an hour,shutdown,scheduled
Apaga todo después,shutdown,scheduled
Kill the power now,shutdown,immediate
Por favor apaga el sistema ya,shutdown,immediate
Déjalo en modo reposo de inmediato,sleep,immediate
Reinicia el computador en una hora,restart,scheduled
Apaga el PC enseguida,shutdown,immediate
Activa el modo hibernar más tarde,hibernate,scheduled
Por favor apaga el sistema cuando termine,shutdown,scheduled
Procede a apagar el equipo más tarde,shutdown,scheduled
Apaga todo en una hora,shutdown,scheduled
Please restart the device afterwards,restart,scheduled
Procede a apagar el equipo cuando termine,shutdown,scheduled
Reinicia el computador ya,restart,immediate
Vuelve a encender esa vaina cuando termine,restart,scheduled
Pon el computador en hibernación enseguida,hibernate,immediate
Apaga el PC ahora,shutdown,immediate
Make it sleep deep right away,hibernate,immediate
Suspende el PC de inmediato,sleep,immediate
Perform a system reboot asap,restart,immediate
Make the PC nap afterwards,sleep,scheduled
Shut down the computer now,shutdown,immediate
Activa el modo suspensión después,sleep,scheduled
Bájale el switch al compu cuando termine,shutdown,scheduled
Déjalo en modo reposo en una hora,sleep,scheduled
Reinicia el computador enseguida,restart,immediate
Let it rest asap,sleep,immediate
Por favor apaga el sistema cuando termine,shutdown,scheduled
Sleep it now immediately,sleep,immediate
Haz un reinicio enseguida,restart,immediate
Put the computer to sleep in an hour,sleep,scheduled
Turn off the PC later,shutdown,scheduled
Turn off the PC right away,shutdown,immediate
Turn off the PC right away,shutdown,immediate
Suspende el sistema después,sleep,scheduled
Hiberna el PC ahora,hibernate,immediate
Mételo a dormir profundo enseguida,hibernate,immediate
Turn it off asap,shutdown,immediate
Coloca el sistema en hibernación ahora,hibernate,immediate
Reinicia el sistema más tarde,restart,scheduled
Mételo a dormir profundo enseguida,hibernate,immediate
Apaga el computador después,shutdown,scheduled
Suspende el sistema cuando termine,sleep,scheduled
Please shut down the system asap,shutdown,immediate
Hibernate the PC asap,hibernate,immediate
Activate hibernate mode immediately,hibernate,immediate
Activate hibernate mode now,hibernate,immediate
Suspend the system in an hour,sleep,scheduled
Apaga el computador en una hora,shutdown,scheduled
Turn off the PC now,shutdown,immediate
Hibernate the PC right away,hibernate,immediate
Pon el computador en suspensión de inmediato,sleep,immediate
Perform a system reboot in an hour,restart,scheduled
Pon el computador en suspensión más tarde,sleep,scheduled
Restart the system when finished,restart,scheduled
Suspend the system right away,sleep,immediate
Mételo a dormir profundo de inmediato,hibernate,immediate
Apaga el PC más tarde,shutdown,scheduled
Procede a hibernar el equipo enseguida,hibernate,immediate
Turn off the PC right away,shutdown,immediate
Put the computer to sleep immediately,sleep,immediate
Restart the system when finished,restart,scheduled
Dale reiniciar después,restart,scheduled
Déjalo en modo reposo más tarde,sleep,scheduled
Restart that thing now,restart,immediate
Reinicia el sistema después,restart,scheduled
Hiberna el PC en una hora,hibernate,scheduled
Mételo a dormir profundo cuando termine,hibernate,scheduled
Activate hibernate mode in an hour,hibernate,scheduled
Power off everything when finished,shutdown,scheduled
Pon el computador en suspensión ahora,sleep,immediate
Mételo a dormir profundo enseguida,hibernate,immediate
Hibernate it now now,hibernate,immediate
Kill the power afterwards,shutdown,scheduled
Apaga todo en una hora,shutdown,scheduled
Let it rest afterwards,sleep,scheduled
Apaga el computador después,shutdown,scheduled
Hiberna el PC ya,hibernate,immediate
Make it sleep deep immediately,hibernate,immediate
Por favor reinicia el equipo ya,restart,immediate
Please shut down the system later,shutdown,scheduled
Please shut down the system when finished,shutdown,scheduled
Por favor reinicia el equipo después,restart,scheduled
Pon el computador en hibernación más tarde,hibernate,scheduled
Please shut down the system right away,shutdown,immediate
Procede a apagar el equipo de inmediato,shutdown,immediate
Dale reiniciar ahora,restart,immediate
Please shut down the system afterwards,shutdown,scheduled
Let it rest asap,sleep,immediate
Suspende el sistema de inmediato,sleep,immediate
Activate hibernate mode when finished,hibernate,scheduled
Make the PC nap later,sleep,scheduled
Please shut down the system immediately,shutdown,immediate
Ponlo a dormir en una hora,sleep,scheduled
Sleep it now right away,sleep,immediate
Put the computer into hibernation asap,hibernate,immediate
Restart the system immediately,restart,immediate
Déjalo en modo reposo cuando termine,sleep,scheduled
Put the computer to sleep in an hour,sleep,scheduled
Turn off the PC asap,shutdown,immediate
Hiberna el PC ya,hibernate,immediate
Hibernate the PC now,hibernate,immediate
Reinicia el computador de inmediato,restart,immediate
Activa el modo suspensión después,sleep,scheduled
Suspende el PC más tarde,sleep,scheduled
Vuelve a encender esa vaina cuando termine,restart,scheduled
Hiberna el PC ahora,hibernate,immediate
Apaga el computador más tarde,shutdown,scheduled
Sleep it now right away,sleep,immediate
Put the computer into hibernation right away,hibernate,immediate
Activa el modo hibernar cuando termine,hibernate,scheduled
Por favor reinicia el equipo en una hora,restart,scheduled
Power off everything when finished,shutdown,scheduled
Hibernate the PC asap,hibernate,immediate
Put the computer to sleep in an hour,sleep,scheduled
